,beverage_category,beverage,beverage_prep,calories,total fat (g),trans fat (g),saturated fat (g),sodium (mg),total carbohydrates (g),cholesterol (mg),dietary fibre (g),sugars (g),protein (g),vitamin a (% dv),vitamin c (% dv),calcium (% dv),iron (% dv),caffeine (mg)
219,Frappuccino® Light Blended Coffee,Frappuccino® Light Blended Coffee,Venti Nonfat Milk,160,0.1,0.1,0.0,5,270,34,0,33,5.0,8,0,15,2,120
220,Frappuccino® Light Blended Coffee,Frappuccino® Light Blended Coffee,Tall Nonfat Milk,110,0.5,0.4,0.0,0,150,24,1,23,3.0,4,0,8,6,70
221,Frappuccino® Light Blended Coffee,Frappuccino® Light Blended Coffee,Grande Nonfat Milk,150,1.0,0.5,0.0,0,200,33,1,30,4.0,6,0,10,8,95
222,Frappuccino® Light Blended Coffee,Frappuccino® Light Blended Coffee,Venti Nonfat Milk,210,1.0,0.5,0.0,5,280,46,1,42,6.0,8,0,15,10,130
223,Frappuccino® Light Blended Coffee,Frappuccino® Light Blended Coffee,Tall Nonfat Milk,100,0.1,0.0,0.0,0,140,23,0,23,3.0,4,0,8,,65
224,Frappuccino® Light Blended Coffee,Frappuccino® Light Blended Coffee,Grande Nonfat Milk,150,0.1,0.1,0.0,0,200,33,0,32,3.0,6,0,10,,90
225,Frappuccino® Light Blended Coffee,Frappuccino® Light Blended Coffee,Venti Nonfat Milk,200,0.1,0.1,0.0,5,270,44,0,43,5.0,8,0,15,2,120
226,Frappuccino® Light Blended Coffee,Frappuccino® Light Blended Coffee,Tall Nonfat Milk,150,3.0,2.0,0.0,0,170,30,1,27,4.0,4,0,10,20,70
227,Frappuccino® Light Blended Coffee,Frappuccino® Light Blended Coffee,Grande Nonfat Milk,220,4.0,3.0,0.0,0,240,43,2,39,5.0,6,0,10,25,105
228,Frappuccino® Light Blended Coffee,Frappuccino® Light Blended Coffee,Venti Nonfat Milk,290,5.0,4.0,0.0,5,320,58,2,52,7.0,8,0,15,35,165
229,Frappuccino® Blended Crème,Frappuccino® Blended Crème,Tall Nonfat Milk,170,0.1,0.1,0.0,0,140,39,0,38,3.0,6,6,10,2,0
230,Frappuccino® Blended Crème,Frappuccino® Blended Crème,Whole Milk,190,3.0,1.5,0.1,10,140,38,0,37,3.0,4,6,10,2,0
231,Frappuccino® Blended Crème,Frappuccino® Blended Crème,Soymilk,170,1.5,0.2,0.0,0,135,37,1,35,3.0,4,6,10,6,0
232,Frappuccino® Blended Crème,Frappuccino® Blended Crème,Grande Nonfat Milk,230,0.2,0.1,0.0,0,190,53,0,52,4.0,8,6,15,4,0
233,Frappuccino® Blended Crème,Frappuccino® Blended Crème,Whole Milk,260,4.0,2.0,0.1,10,190,53,0,52,4.0,6,6,15,4,0
234,Frappuccino® Blended Crème,Frappuccino® Blended Crème,Soymilk,240,2.0,0.2,0.0,0,180,51,1,49,3.0,4,6,15,8,0
235,Frappuccino® Blended Crème,Frappuccino® Blended Crème,Venti Nonfat Milk,310,0.2,0.1,0.0,5,260,70,0,69,6.0,10,8,20,4,0
236,Frappuccino® Blended Crème,Frappuccino® Blended Crème,Whole Milk,350,6.0,3.0,0.2,15,260,70,0,68,6.0,8,8,20,4,0
237,Frappuccino® Blended Crème,Frappuccino® Blended Crème,Soymilk,320,3.2,0.4,0.0,0,250,67,1,64,5.0,6,8,20,10,0
238,Frappuccino® Blended Crème,Frappuccino® Blended Crème,Tall Nonfat Milk,170,0.1,0.1,0.0,0,160,39,0,38,4.0,6,0,10,,0
239,Frappuccino® Blended Crème,Frappuccino® Blended Crème,Whole Milk,200,3.5,2.0,0.1,10,160,39,0,38,3.0,6,0,10,,0
240,Frappuccino® Blended Crème,Frappuccino® Blended Crème,Soymilk,180,1.5,0.2,0.0,0,160,37,1,35,3.0,4,0,10,6,0
241,Frappuccino® Blended Crème,Frappuccino® Blended Crème,Grande Nonfat Milk,240,0.1,0.1,0.0,5,230,56,0,55,5.0,8,0,15,,0
